path,label,dataset,speaker_id,language,generator_id,attack_type,codec,sample_rate,license,split,duration_s,text,source_url
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/0.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/1.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/100.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/1000.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10000.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10001.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10002.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10003.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10004.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10005.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10006.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10007.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10008.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10009.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/1001.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10010.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10011.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10012.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10013.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10014.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10015.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10016.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10017.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10018.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10019.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/1002.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10020.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10021.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10022.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10023.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10024.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
/__modal/volumes/vo-Oe7UdCpxcZEjcd7B7eL9tB/mighty-morphing/audio/public/in_the_wild/release_in_the_wild/release_in_the_wild/10025.wav,unknown,in_the_wild,,,,,wav,,cc-by-sa-4.0,,,,https://huggingface.co/datasets/mueller91/In-The-Wild
