file,source,label,duration_s,speaker_cosine_vs_real_01,citadel_action,citadel_risk,citadel_latency_ms,sig_spectral_anomaly,sig_steganalysis,sig_ultrasonic_injection,sig_wavlm_paralinguistic,sig_deepfake_detection,sig_waveform_integrity,sig_rmt_divergence,sig_asr_prefix_attack,rms_mean,rms_std,silence_ratio,centroid_mean,centroid_std,flatness_mean,flatness_std,hf_ratio_mean,zcr_mean,pitch_mean,pitch_std,pitch_cv
fixtures/user/clone_cartesia_01.wav,cartesia,synthetic,18.28,0.816395,WARN,60,842,2,30,0,60,0,34,38,2,0.05561,0.058007,0.274918,1185.125,1421.862,0.20323,0.161254,0.098059,0.160122,134.061,70.13,0.52312
fixtures/user/clone_cartesia_02.wav,cartesia,synthetic,14.472,0.817039,WARN,65,567,2,19,0,72,0,2,36,0,0.073351,0.072649,0.184083,961.421,1022.498,0.167,0.129005,0.05041,0.130659,133.546,50.911,0.381225
fixtures/user/clone_cartesia_03.wav,cartesia,synthetic,15.354,0.812518,ALLOW,15,651,2,20,0,0,0,4,95,0,0.070277,0.065792,0.176778,930.091,1039.467,0.193004,0.146225,0.05895,0.130789,123.87,43.583,0.351841
fixtures/user/clone_cartesia_04.wav,cartesia,synthetic,13.218,0.774359,ALLOW,17,585,2,20,0,0,0,32,95,0,0.05665,0.060876,0.270455,833.494,885.684,0.16607,0.14488,0.037885,0.11771,154.478,79.849,0.516892
fixtures/user/clone_cartesia_05.wav,cartesia,synthetic,11.964,0.780077,ALLOW,15,595,2,51,0,44,0,4,34,0,0.06251,0.067352,0.243719,1089.835,1246.721,0.189798,0.149878,0.077627,0.145082,130.079,51.474,0.395712
fixtures/user/clone_cartesia_06.wav,cartesia,synthetic,15.54,0.834483,ALLOW,15,574,2,17,0,0,0,4,95,0,0.060815,0.06285,0.252577,1095.425,1276.272,0.196381,0.166953,0.089778,0.146424,133.511,42.979,0.321913
fixtures/user/clone_cartesia_07.wav,cartesia,synthetic,14.657,0.802081,ALLOW,39,582,3,17,0,78,0,4,36,0,0.057861,0.063578,0.270492,1623.639,1736.149,0.26728,0.165863,0.194599,0.216045,149.114,54.901,0.368182
fixtures/user/clone_cartesia_08.wav,cartesia,synthetic,11.685,0.79079,ALLOW,15,498,2,17,0,0,0,4,95,0,0.061034,0.061762,0.263925,1149.385,1368.007,0.223208,0.16904,0.100479,0.15682,135.646,46.075,0.339675
fixtures/user/clone_cartesia_09.wav,cartesia,synthetic,13.264,0.797729,ALLOW,39,536,2,18,0,74,0,32,36,0,0.052868,0.058841,0.303625,1015.179,1186.113,0.203209,0.162231,0.072268,0.140176,137.269,58.89,0.429008
fixtures/user/clone_cartesia_10.wav,cartesia,synthetic,11.732,0.752965,BLOCK,98,398,2,19,0,58,45,0,0,0,0.062029,0.066888,0.270709,990.339,1194.387,0.170153,0.145963,0.068706,0.134795,159.349,66.965,0.420239
fixtures/user/clone_cartesia_11.wav,cartesia,synthetic,10.896,0.799068,WARN,65,568,2,19,0,82,0,3,95,0,0.063935,0.063473,0.227022,1010.628,1321.37,0.179186,0.147597,0.080887,0.134711,131.739,53.004,0.402344
fixtures/user/clone_cartesia_12.wav,cartesia,synthetic,12.428,0.801685,WARN,65,523,2,30,0,64,0,4,95,0,0.050984,0.058253,0.267526,1334.129,1546.289,0.215429,0.161153,0.128416,0.177883,142.522,62.83,0.440843
fixtures/user/clone_cartesia_13.wav,cartesia,synthetic,11.221,0.821798,WARN,60,525,2,18,0,46,0,3,95,0,0.060516,0.058008,0.217857,1055.192,1154.341,0.194108,0.146716,0.067403,0.142909,143.162,60.882,0.425263
fixtures/user/clone_cartesia_14.wav,cartesia,synthetic,13.822,0.81799,ALLOW,15,582,2,48,0,0,0,4,95,0,0.055552,0.061998,0.305072,1087.804,1202.151,0.204617,0.157936,0.075848,0.14775,142.454,69.255,0.486156
fixtures/user/clone_cartesia_15.wav,cartesia,synthetic,12.846,0.81433,BLOCK,90,280,2,30,0,84,0,0,0,0,0.05477,0.059421,0.239283,1133.651,1269.977,0.202884,0.15722,0.092012,0.153946,130.078,46.334,0.356201
fixtures/user/clone_cartesia_16.wav,cartesia,synthetic,12.8,0.79235,BLOCK,95,565,3,20,0,65,0,3,95,0,0.053386,0.059349,0.279343,1298.017,1567.159,0.216364,0.165929,0.120899,0.173704,126.378,46.604,0.368764
fixtures/user/clone_cartesia_17.wav,cartesia,synthetic,14.843,0.801019,BLOCK,84,602,2,56,0,84,0,4,32,30,0.058619,0.066017,0.288799,1136.799,1300.971,0.221936,0.171372,0.085611,0.152193,133.344,47.527,0.356423
fixtures/user/clone_cartesia_18.wav,cartesia,synthetic,11.128,0.8056,BLOCK,92,261,2,18,0,62,0,0,0,0,0.075865,0.076486,0.235824,979.615,1155.076,0.17944,0.145844,0.060943,0.134064,141.996,57.147,0.402455
fixtures/user/clone_cartesia_19.wav,cartesia,synthetic,9.781,0.826408,ALLOW,39,559,2,51,0,64,0,4,32,0,0.053202,0.061706,0.282787,1203.945,1370.19,0.207563,0.162875,0.095198,0.160848,127.741,45.187,0.353741
fixtures/user/clone_cartesia_20.wav,cartesia,synthetic,10.803,0.733482,WARN,65,478,2,20,0,69,0,3,95,0,0.051714,0.055138,0.292208,799.329,912.914,0.176448,0.149165,0.039092,0.113654,120.728,46.488,0.385063
