file,source,label,dataset,speaker_id,language,generator_id,attack_type,codec,sample_rate,license,split,source_url,duration_s,speaker_cosine_vs_real_01,citadel_action,citadel_risk,citadel_latency_ms,sig_spectral_anomaly,sig_steganalysis,sig_ultrasonic_injection,sig_wavlm_paralinguistic,sig_deepfake_detection,sig_waveform_integrity,sig_rmt_divergence,sig_asr_prefix_attack,rms_mean,rms_std,silence_ratio,centroid_mean,centroid_std,flatness_mean,flatness_std,hf_ratio_mean,zcr_mean,pitch_mean,pitch_std,pitch_cv
fixtures/user/clone_cartesia_01.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,18.28,0,,,,,,,,,,,,0.05561,0.058007,0.274918,1185.125,1421.862,0.20323,0.161254,0.098059,0.160122,134.061,70.13,0.52312
fixtures/user/clone_cartesia_02.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,14.472,0,,,,,,,,,,,,0.073351,0.072649,0.184083,961.421,1022.498,0.167,0.129005,0.05041,0.130659,133.546,50.911,0.381225
fixtures/user/clone_cartesia_03.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,15.354,0,,,,,,,,,,,,0.070277,0.065792,0.176778,930.091,1039.467,0.193004,0.146225,0.05895,0.130789,123.87,43.583,0.351841
fixtures/user/clone_cartesia_04.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,13.218,0,,,,,,,,,,,,0.05665,0.060876,0.270455,833.494,885.684,0.16607,0.14488,0.037885,0.11771,154.478,79.849,0.516892
fixtures/user/clone_cartesia_05.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,11.964,0,,,,,,,,,,,,0.06251,0.067352,0.243719,1089.835,1246.721,0.189798,0.149878,0.077627,0.145082,130.079,51.474,0.395712
fixtures/user/clone_cartesia_06.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,15.54,0,,,,,,,,,,,,0.060815,0.06285,0.252577,1095.425,1276.272,0.196381,0.166953,0.089778,0.146424,133.511,42.979,0.321913
fixtures/user/clone_cartesia_07.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,14.657,0,,,,,,,,,,,,0.057861,0.063578,0.270492,1623.639,1736.149,0.26728,0.165863,0.194599,0.216045,149.114,54.901,0.368182
fixtures/user/clone_cartesia_08.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,11.685,0,,,,,,,,,,,,0.061034,0.061762,0.263925,1149.385,1368.007,0.223208,0.16904,0.100479,0.15682,135.646,46.075,0.339675
fixtures/user/clone_cartesia_09.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,13.264,0,,,,,,,,,,,,0.052868,0.058841,0.303625,1015.179,1186.113,0.203209,0.162231,0.072268,0.140176,137.269,58.89,0.429008
fixtures/user/clone_cartesia_10.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,11.732,0,,,,,,,,,,,,0.062029,0.066888,0.270709,990.339,1194.387,0.170153,0.145963,0.068706,0.134795,159.349,66.965,0.420239
fixtures/user/clone_cartesia_11.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,10.896,0,,,,,,,,,,,,0.063935,0.063473,0.227022,1010.628,1321.37,0.179186,0.147597,0.080887,0.134711,131.739,53.004,0.402344
fixtures/user/clone_cartesia_12.wav,cartesia,synthetic,hampshire_user,target_user,,cartesia,voice_clone,wav,,private-local,eval,,12.428,0,,,,,,,,,,,,0.050984,0.058253,0.267526,1334.129,1546.289,0.215429,0.161153,0.128416,0.177883,142.522,62.83,0.440843
